"Station"	"Season"	"MT5"	"MT95"	"MTX5"	"MTX95"	"MTN5"	"MTN95"	"RRR5Y"	"FF5Y"
2199	"winter"	0.05	16.04	0.1	21.95	0	17.45	15.68	12.05
2199	"spring"	0.05	12.6	0	19.27	0	11.52	22.37	9.04
2199	"summer"	0.05	7.21	0	10.79	0	8.8	55.24	6.66
2199	"autumn"	0.05	12.75	0	17.29	0	14.64	49.42	8.71
2206	"winter"	0.05	11.24	0	15.88	0	13.44	180.42	29.68
2206	"spring"	0.03	8.39	0	12.11	0	11.12	34.78	23
2206	"summer"	0.05	7.13	0	7.93	0	12.06	242	15.25
2206	"autumn"	0	8.63	0	10.89	0	10.32	32.81	18.36
2209	"winter"	0.05	8.95	0	11.07	0	10.59	NA	32.53
2209	"spring"	0.05	8.35	0	9.86	0	9.91	NA	24.42
2209	"summer"	0.05	7.74	0	8.1	0	10.31	NA	17.17
2209	"autumn"	0.05	8.49	0	9.58	0	10.9	NA	25.23
2216	"winter"	0.05	11.07	0.1	15.53	0.1	13.33	NA	12.08
2216	"spring"	0.05	8.99	0	13.65	0	11.1	NA	12.01
2216	"summer"	0.05	6.43	0	7.8	0	8.9	NA	9.99
2216	"autumn"	0.05	10.37	0	10.56	0	10.42	NA	11.98
2218	"winter"	0.05	12.35	0	16	0	13.5	38.12	12.89
2218	"spring"	0.05	8.45	0	10.93	0	10.84	47.9	19.51
2218	"summer"	0.05	5.9	0	7.01	0	8.2	79.98	8.29
2218	"autumn"	0	7.9	0	9.35	0	9.5	65.86	13.06
2221	"winter"	0.05	10.6	0.1	14.74	0	12.35	74.77	15.04
2221	"spring"	0.05	10.23	0	14.54	0	10.98	95	14.88
2221	"summer"	0	6.88	0	7.7	0	10.1	46.5	11.08
2221	"autumn"	0.05	9.57	0	10.65	0	10.84	63.82	18.57
2222	"winter"	0.05	14.65	0	17.68	0	16.81	66.73	16.23
2222	"spring"	0.03	10.79	0	13.74	0	11.53	25.63	17.95
2222	"summer"	0	5.89	0	9.48	0	9.71	62.46	16.26
2222	"autumn"	0.05	8.82	0	10.3	0	9.35	110.93	12.66
2226	"winter"	0.05	11.69	0	15.22	0	14.03	60.27	14.6
2226	"spring"	0	9.4	0	12.05	0	11.3	57.52	12.59
