"Station"	"Season"	"MT5"	"MT95"	"MTX5"	"MTX95"	"MTN5"	"MTN95"	"RRR5Y"	"FF5Y"
53513	"winter"	0.05	10.4	0	11.26	0	11.5	7.8	8.87
53513	"spring"	0.05	16.92	0	14.83	0.1	17.2	115.57	8.12
53513	"summer"	0	6.7	0	6.9	0	9.5	148.06	5.3
53513	"autumn"	0.05	18.62	0	17.15	0	16.9	74.31	7.2
53529	"winter"	0.05	11.12	0.04	12.61	0.1	12.9	47.67	8.06
53529	"spring"	0.05	14.89	0	14.4	0.1	16.11	72.87	8.72
53529	"summer"	0	7.15	0	8.2	0	10	87.17	8.51
53529	"autumn"	0.05	16.41	0	16.62	0.1	15.79	64.07	8.07
53543	"winter"	0.05	12.4	0	12.35	0	13.09	26.92	8.45
53543	"spring"	0.05	14.98	0	13.93	0.09	16.64	64.66	8.21
53543	"summer"	0.05	7.25	0	6.8	0	9.7	148.84	7.37
53543	"autumn"	0.05	15.34	0	15.2	0	15.5	90.12	7.03
53564	"winter"	0.05	11.13	0	14.06	0.1	11.31	14.43	6.01
53564	"spring"	0.05	13.49	0.1	12.83	0	17.01	28.59	7.31
53564	"summer"	0	6.05	0	7.5	0	10.5	167.1	6.47
53564	"autumn"	0.02	17.35	0	14.79	0	15.17	43.29	5.78
53588	"winter"	0.05	11.95	0.1	13.46	0	12.3	36.06	21.78
53588	"spring"	0.05	15.94	0.1	14.6	0.1	16.04	44.52	20.9
53588	"summer"	0	5.94	0	5.79	0	8.49	179.93	21.77
53588	"autumn"	0.05	12.21	0	12.68	0	14.23	130.21	19.34
53593	"winter"	0.05	10.64	0	11.9	0	12.68	21.01	6.84
53593	"spring"	0.05	13.96	0	13.23	0.1	18.2	97.01	7.3
53593	"summer"	0	6.2	0	7	0.1	9.9	98.94	5.33
53593	"autumn"	0	17.53	0	16.29	0.1	16	46.65	5.33
53614	"winter"	0.05	9.95	0	10.38	0	11.79	8	6.53
53614	"spring"	0.05	13.8	0	12.42	0.1	14.53	42.06	8.69
53614	"summer"	0	5.65	0	6.5	0	9.2	184.42	6.08
53614	"autumn"	0	15.2	0	16.25	0	14.66	53.14	7.38
53646	"winter"	0.05	11.06	0	12.5	0	11.51	24.79	7.35
53646	"spring"	0.05	13.51	0	12.35	0	15.26	33.29	9.16
53646	"summer"	0	6.6	0	6.7	0	9.5	157.72	6.92
53646	"autumn"	0	15.63	0	15.13	0	14.63	121.63	7.14
53673	"winter"	0	9.2	0	9.9	0	11.6	10.8	8.1
53673	"spring"	0.05	13.99	0.1	13.31	0	15.47	46.19	7.48
53673	"summer"	0.05	6.15	0	6.11	0	10.4	114.75	5.71
